AFFGEOID,votes_D_Wht,votes_D_His,votes_D_Blk,votes_D_Asn,votes_D_Oth,votes_R_Wht,votes_R_His,votes_R_Blk,votes_R_Asn,votes_R_Oth,votes_O_Wht,votes_O_His,votes_O_Blk,votes_O_Asn,votes_O_Oth,votes_N_Wht,votes_N_His,votes_N_Blk,votes_N_Asn,votes_N_Oth,prob_D_Wht,prob_D_His,prob_D_Blk,prob_D_Asn,prob_D_Oth,prob_R_Wht,prob_R_His,prob_R_Blk,prob_R_Asn,prob_R_Oth,prob_O_Wht,prob_O_His,prob_O_Blk,prob_O_Asn,prob_O_Oth,prob_N_Wht,prob_N_His,prob_N_Blk,prob_N_Asn,prob_N_Oth
1500000US361130720011,293.8782021360113,47.457229349068406,1.757021946101511,0.5571519264972923,8.116337142321454,290.6668969688658,39.67689393414362,1.519574725850422,3.895910052592651,46.4411448185476,10.449323471920156,1.302896802950321,0.38406395718940495,0.1398992628292621,1.1716090751110277,135.00557742320288,36.56297991383767,0.33933937085866267,5.407038758080793,4.270908964019909,0.40257287963837163,0.3796578347925472,0.43925548652537777,0.055715192649729225,0.13527228570535757,0.3981738314641997,0.31741515147314897,0.3798936814626055,0.3895910052592651,0.7740190803091267,0.014314141742356378,0.010423174423602568,0.09601598929735124,0.01398992628292621,0.01952681791851713,0.18493914715507243,0.2925038393107014,0.08483484271466567,0.5407038758080793,0.07118181606699849
1500000US361130720012,256.31340917080996,0.0,0.0,0.0,0.0,277.73892829456236,0.0,0.0,0.0,0.0,8.665241867811122,0.0,0.0,0.0,0.0,63.08180755400008,0.0,0.0,0.0,0.0,0.42018591667345895,0.0,0.0,0.0,0.0,0.455309718515676,0.0,0.0,0.0,0.0,0.014205314537395283,0.0,0.0,0.0,0.0,0.10341279926885259,0.0,0.0,0.0,0.0
1500000US361130720021,228.81354679999998,0.0,0.0,0.0,0.0,248.61369460000003,0.0,0.0,0.0,0.0,8.745171559999992,0.0,0.0,0.0,0.0,236.10341842397133,0.0,0.0,0.0,0.0,0.315604892137931,0.0,0.0,0.0,0.0,0.34291544082758624,0.0,0.0,0.0,0.0,0.01206230559999999,0.0,0.0,0.0,0.0,0.3256598874813398,0.0,0.0,0.0,0.0
1500000US361130720022,195.67219081432893,3.3426275184994454,5.408098968258685,0.0,3.800098964586312,204.5034655787664,6.293998908087403,3.9553675758392464,0.0,12.306655097980833,5.742910417385503,0.7022388419360122,0.12192091310708661,0.0,1.0878006042492714,84.08143318951916,4.661134731477145,0.514612542794985,0.0,0.0,0.3993310016618958,0.2228418345666297,0.5408098968258684,0.0,0.2533399309724208,0.41735401138523753,0.41959992720582684,0.39553675758392465,0.0,0.8204436731987222,0.011720225341603068,0.04681592279573414,0.01219209131070866,0.0,0.07252004028328476,0.17159476161126358,0.3107423154318097,0.051461254279498506,0.0,0.0
1500000US361130730001,279.7624065703071,0.0,1.9977022138288907,2.9440426561700286,0.0,397.50285715834764,0.0,3.193329396864953,5.474928652058593,0.0,13.1016930157984,0.0,0.042001594616491486,0.06714281821514535,0.0,439.6330432555468,0.0,4.771188067548012,6.513885873556237,0.0,0.24757735094717445,0.0,0.19977022138288908,0.19626951041133525,0.0,0.3517724399631395,0.0,0.31933293968649534,0.3649952434705729,0.0,0.011594418598051682,0.0,0.004200159461649149,0.00447618788100969,0.0,0.38905579049163436,0.0,0.47711880675480123,0.4342590582370825,0.0
1500000US361130730002,203.76774891390892,6.897755352845545,0.0,0.0,0.0,288.9217316462314,9.978777866269454,0.0,0.0,0.0,9.60891243399999,0.7065249615005607,0.0,0.0,0.0,426.3460980670425,12.416941819384439,0.0,0.0,0.0,0.21910510635904185,0.22992517842818483,0.0,0.0,0.0,0.31066852865186173,0.33262592887564846,0.0,0.0,0.0,0.010332163907526871,0.023550832050018688,0.0,0.0,0.0,0.4584366645882177,0.413898060646148,0.0,0.0,0.0
1500000US361130730003,154.72527071648818,0.0,0.0,0.0,0.0,220.59166120097166,0.0,0.0,0.0,0.0,5.301693952124119,0.0,0.0,0.0,0.0,116.522904321,0.0,0.0,0.0,0.0,0.3063866746861152,0.0,0.0,0.0,0.0,0.43681517069499337,0.0,0.0,0.0,0.0,0.010498403865592315,0.0,0.0,0.0,0.0,0.2307384243980198,0.0,0.0,0.0,0.0
1500000US361130730004,101.07290278243755,0.0,0.0,5.678430663973963,0.0,142.09958803462004,0.0,0.0,7.906257282804876,0.0,4.314491446732736,0.0,0.0,0.2778939738748367,0.0,112.51301773620965,0.0,0.0,6.137418079346324,0.0,0.2807580632845488,0.0,0.0,0.2839215331986981,0.0,0.39472107787394456,0.0,0.0,0.3953128641402438,0.0,0.01198469846314649,0.0,0.0,0.013894698693741835,0.0,0.31253616037836013,0.0,0.0,0.3068709039673162,0.0
1500000US361130735001,184.10453625147372,4.378547841050729,2.1722435701028364,0.0,3.401597538910508,407.2622213152047,6.317852078947902,4.725927300068474,0.0,4.074727547572552,15.12271226301852,0.002764143076587681,0.8767756633016218,0.0,1.0495757823846255,293.51053017030256,4.844836449778339,7.225053466527067,0.0,1.73438700419231,0.2045605958349708,0.29190318940338195,0.14481623800685575,0.0,0.3401597538910508,0.45251357923911634,0.42119013859652676,0.3150618200045649,0.0,0.4074727547572552,0.016803013625576135,0.00018427620510584538,0.05845171088677479,0.0,0.10495757823846255,0.32612281130033616,0.32298909665188924,0.48167023110180446,0.0,0.17343870041923098
1500000US361130735002,109.78939264125482,9.86483113097412,0.0,0.0,4.118389125240286,261.65182506521694,16.10020625923497,0.0,0.0,5.612483164615614,5.677583727442166,0.8400046119900565,0.0,0.0,1.3189177992725207,62.881198566086184,8.19495799780086,0.0,0.0,0.9502099108715802,0.24952134691194278,0.281852318027832,0.0,0.0,0.34319909377002383,0.5946632387845839,0.46000589312099915,0.0,0.0,0.46770693038463446,0.012903599380550378,0.024000131771144472,0.0,0.0,0.10990981660604339,0.14291181492292315,0.23414165708002455,0.0,0.0,0.07918415923929835
1500000US361130740001,158.38398137309932,0.0,0.0,0.0,8.302566400204972,168.0693715480558,0.0,0.0,0.0,7.00976071171643,6.793019593068434,0.0,0.0,0.0,3.0501185720181017,186.75362748577646,0.0,0.0,0.0,5.637554316060496,0.30458457956365254,0.0,0.0,0.0,0.34594026667520716,0.32321032990010734,0.0,0.0,0.0,0.2920733629881846,0.013063499217439295,0.0,0.0,0.0,0.12708827383408758,0.3591415913188009,0.0,0.0,0.0,0.23489809650252066
1500000US361130740002,155.91829432222025,12.991826647179376,2.81873441042202,0.0,0.0,163.36773273884032,13.672039365921675,3.1314716386100665,0.0,0.0,7.040723458032414,0.542340227834053,0.02247048562732669,0.0,0.0,153.67324948090715,12.793793759064895,4.027323465340588,0.0,0.0,0.32482977983795885,0.3247956661794844,0.281873441042202,0.0,0.0,0.3403494432059173,0.3418009841480419,0.31314716386100666,0.0,0.0,0.014668173870900861,0.013558505695851325,0.002247048562732669,0.0,0.0,0.3201526030852232,0.3198448439766224,0.4027323465340588,0.0,0.0
