AFFGEOID,D_Wht_prob,R_Wht_prob,O_Wht_prob,N_Wht_prob,D_His_prob,R_His_prob,O_His_prob,N_His_prob,D_Blk_prob,R_Blk_prob,O_Blk_prob,N_Blk_prob,D_Asn_prob,R_Asn_prob,O_Asn_prob,N_Asn_prob,D_Oth_prob,R_Oth_prob,O_Oth_prob,N_Oth_prob
1500000US361031113001,0.4355996924063534,0.29495572539085274,0.003375677528079079,0.26606890467471483,0.34757651029940645,0.21895217792139693,0.00338039486114448,0.4300909169180521,0.33997352689293586,0.21429037940221712,0.003354416668805955,0.44238167703604103,0.34311270221082013,0.21657650095783412,0.0033838254099917064,0.4369269714213542,0.20644705736511357,0.12596608894534614,0.003281739837731767,0.6643051138518085
1500000US361031113002,0.4539493117756758,0.39457657987090694,1.743847305634678e-05,0.1514566698803608,0.39104565515169226,0.3223020980255017,2.0260631705421773e-05,0.28663198619110053,0.38514868913884265,0.31770162644227556,2.0245582991524952e-05,0.29712943883589027,0.3874741488459237,0.319981477325082,2.03141483649697e-05,0.2925240596806294,0.26791499837667415,0.21560169749491664,2.3447241227821014e-05,0.5164598568871813
1500000US361031113003,0.4688370682295465,0.2679258309644748,0.006064520882430487,0.2571725799235483,0.3793775414798711,0.20256871111883046,0.006040110967529699,0.41201363643376865,0.3712257377351092,0.19791641001785262,0.006011194861210153,0.4248466573858281,0.3738403661456113,0.20005371147187498,0.006063981653034629,0.4200419407294791,0.2281794572623961,0.11809085682243008,0.005936290131013262,0.6477933957841606
1500000US361031114011,0.47904549170481475,0.30706501956065735,0.0034496483646761656,0.21043984036985164,0.4035255123751192,0.24599857600516206,0.0035857071973298947,0.346890204422389,0.3973758993952389,0.24166085656282582,0.0035661498446122653,0.35739709419732296,0.3984884423788686,0.2431561286788027,0.003609067967544005,0.3547463609747846,0.2590552993485805,0.1536285740718746,0.003753202353701318,0.5835629242258435
1500000US361031114012,0.4421402264608553,0.18255678698756603,0.0026350548509463173,0.3726679317006323,0.3374500009102522,0.13121793818925526,0.0023451327915212767,0.5289869281089713,0.3292768328563026,0.12714358201398562,0.0023192967545530175,0.5412602883751588,0.3329269741772479,0.1286941027510732,0.002346938570590811,0.536031984501088,0.18345268626319336,0.0683584098909227,0.0020648729107070798,0.7461240309351769
1500000US361031114021,0.4089510826942729,0.20745529768814308,0.006388919259251085,0.3772047003583329,0.3128108202531876,0.14949953454429793,0.005746384625592155,0.5319432605769223,0.3051198202787327,0.14505869873274405,0.005671289486027849,0.5441501915024954,0.3079128370418434,0.14712482821919298,0.005722577124519391,0.5392397576144441,0.1675220330747275,0.07837423613854097,0.005038311358291755,0.7490654194284398
1500000US361031114022,0.35201959958328416,0.2584360702663044,0.007816573890900147,0.3817277562595113,0.26527302650725115,0.19034203146347867,0.0070477458791953825,0.5373371961500749,0.25817641774686173,0.184123813625128,0.006986712786311042,0.5507130558416993,0.26177745536087155,0.1873437145538202,0.007053785071391746,0.5438250450139165,0.14157314775176347,0.0986604555098322,0.0061951913835354535,0.7535712053548688
1500000US361031114023,0.4516378623656878,0.31657758140831077,0.006966991601934558,0.2248175646240668,0.37907156858849106,0.2554867948750324,0.007038135264807891,0.3584035012716687,0.3707962645952847,0.24902309334682166,0.007086308456064051,0.3730943336018297,0.3736980641374188,0.2518460207040164,0.007132223400420975,0.3673236917581439,0.23935033662082664,0.15596211470388427,0.007328689549844875,0.5973588591254443
1500000US361031115031,0.3816892777365544,0.31458220297899925,0.003845656536639277,0.2998828627478071,0.2914851029443085,0.23198075199331433,0.00375510434946647,0.47277904071291077,0.28414184008296817,0.226230397924696,0.00371390106098695,0.48591386093134886,0.28607928727567206,0.22816987730200128,0.0037450852096622004,0.4820057502126645,0.16439738472125984,0.12949919325186618,0.003468243111190848,0.7026351789156832
1500000US361031115032,0.4484262474926356,0.18862874291449855,0.007218991971918333,0.3557260176209475,0.33110809130338575,0.13528230746672132,0.006681331069336398,0.5269282701605564,0.322278709085634,0.131136886401907,0.006589974753813317,0.5399944297586458,0.3246286461789004,0.13222740373901212,0.006653114704168898,0.5364908353779186,0.17748899030150087,0.07141921123675884,0.005857418833639034,0.7452343796281011
